Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	2.0859544125972	-0.003225806451612412
CDKN1A	22.8815902836465	0.030107526881720914
TFRC	1.55021094488971	-0.003225806451612412
FGL2	1.92117437392379	-0.003225806451612412
PIK3R3	3.69008234299446	-0.003225806451612412
PLOD2	3.57972096808023	-0.003225806451612412
ENO1	2.84939253778148	-0.003225806451612412
HSP90B1	3.99060470999726	-0.003225806451612412
HSPD1	3.05858450240049	-0.003225806451612412
RRP9	2.71956281386955	-0.003225806451612412
LDHA	2.08113535260978	-0.003225806451612412
PNP	2.03875323523737	-0.003225806451612412
NFIL3	22.1605924123115	0.030107526881720914
NAMPT	1.51994681027106	-0.001964800842501946
PGK1	3.00889531002686	-0.003225806451612412
SERPINH1	3.36487458033195	-0.003225806451612412
XBP1	2.51452580711927	-0.003225806451612412
SDF2L1	3.93159862389082	-0.003225806451612412
TPI1	2.5357899699958	-0.003225806451612412
HSPA5	3.94393165099091	-0.003225806451612412
PNO1	2.20716124217093	-0.003225806451612412
TXNRD1	2.37516358763381	-0.003225806451612412
HSPE1	3.0068650583645	-0.003225806451612412
SLC7A5	0.0156026444514982	0.030107526881720914
P4HA1	1.81830359167458	-0.003225806451612412
MTHFD2	2.40084291459412	-0.003225806451612412
DDIT3	3.18093370403473	-0.003225806451612412
DDIT4	3.17160051615524	-0.003225806451612412
CALR	4.48034873976945	0.017180194788895542
BCAT1	3.63545288365242	-0.003225806451612412
SQSTM1	2.40910592476634	-0.003225806451612412
