Item ID	Item value	Change in Kuiper test statistic when item removed
NOP56	2.81296070239374	-0.004761904761904967
NOP16	2.88913746347931	-0.004761904761904967
NIP7	2.42940497348	-0.004761904761904967
PUS1	2.80886240601774	-0.004761904761904967
NOP2	1.95479593873655	-0.004761904761904967
NOLC1	1.75134207186119	-0.004761904761904967
HSPE1	3.0068650583645	-0.004761904761904967
PPRC1	0.3694644131399	0.04387865368288668
BYSL	1.5368378158149	-0.004761904761904967
HSPD1	3.05858450240049	-0.002606927927072067
RRP9	2.71956281386955	-0.004761904761904967
SRM	1.82964635869838	-0.004761904761904967
NDUFAF4	2.76422360114129	-0.004761904761904967
MCM5	13.387074943688	0.06666666666666643
RRP12	1.64464994080537	-0.004761904761904967
