Item ID	Item value	Change in Kuiper test statistic when item removed
B4GALT1	0.0776349338096545	0.03754940711462462
NLGN2	2.17486263758152	-0.007905138339920792
VCAM1	2.10651631890949	-0.007905138339920792
ACTN1	2.58116568305887	-0.007905138339920792
MSN	3.62695691684318	-0.007905138339920792
PARD6G	14.6574438961429	0.03754940711462462
PIK3R3	3.69008234299446	-0.005274912250284203
THY1	2.22036450092728	-0.007905138339920792
BAIAP2	15.3138961313444	0.03754940711462462
ICAM1	1.77309243536288	-0.007905138339920792
ADAMTS5	2.21642955077995	-0.007905138339920792
LIMA1	3.00923177541438	-0.007905138339920792
VCAN	2.24867502526677	-0.007905138339920792
CDH3	3.18972766231078	-0.007905138339920792
PTPRC	3.41716733297023	-0.007905138339920792
PPP2R2C	14.5208226199946	0.03754940711462462
CD209	2.39937256955982	-0.007905138339920792
CDH11	2.9024019335183	-0.007905138339920792
FSCN1	2.88469837883349	-0.007905138339920792
ZYX	2.10662065783557	-0.007905138339920792
VCL	1.76103024004012	-0.007905138339920792
MPZL2	3.49137273070085	-0.007905138339920792
YWHAH	1.28855544687644	0.011781311375232528
