Item ID	Item value	Change in Kuiper test statistic when item removed
AHCY	23.9304967263676	-0.021428571428571408
ALAS1	17.7042634664233	0.02857142857142858
GSTO1	22.5877201170821	-0.021428571428571408
SHMT2	21.9668080840924	-0.021428571428571408
SERPINE1	20.6704257543274	-0.0047165215250215
PYCR1	23.4414959269935	-0.021428571428571408
CSAD	9.21718560819674	0.02857142857142858
ETS2	12.9764321676602	0.02857142857142858
ALDH3A1	9.59236270689227	0.02857142857142858
UGDH	22.1518001503369	-0.021428571428571408
MT2A	21.0715149520126	-0.021428571428571408
SERTAD1	19.0771508908645	0.02857142857142858
CA2	0.345563824805301	-0.004134108993667007
CYP2S1	16.6364252003501	0.02857142857142858
ID2	9.58821152940287	0.02857142857142858
HMOX1	23.0651165099019	-0.021428571428571408
CYP2E1	8.24462798964314	0.02857142857142858
HPRT1	22.1059608590468	-0.021428571428571408
GART	21.4825757608046	-0.021428571428571408
EPHA2	14.0883197081413	0.02857142857142858
PTGES	21.4241517489621	-0.021428571428571408
