Item ID	Item value	Change in Kuiper test statistic when item removed
IFITM3	21.657371864751	-0.004166666666666652
IL4R	21.258393678948	-0.004166666666666652
SAMD9	22.4448510392127	-0.004166666666666652
RIPK2	14.7094861809609	0.0625
TDRD7	22.056111259828	-0.004166666666666652
NMI	23.9210947856172	-0.004166666666666652
PARP9	22.5840680903465	-0.004166666666666652
IFIH1	22.282797934915	-0.004166666666666652
ISG20	20.6116291217149	-0.004166666666666652
PLSCR1	21.4169270763124	-0.004166666666666652
OAS1	22.7419662189431	-0.004166666666666652
CASP1	0.66609236338702	0.02687489907374241
IRF7	20.0874529161844	0.01767400856377077
TRIM14	23.2962661205477	-0.004166666666666652
TRIM25	23.2409467190959	-0.004166666666666652
TRIM21	22.0787057051588	-0.004166666666666652
