Item ID	Item value	Change in Kuiper test statistic when item removed
CNTFR	10.6229091771857	0.06249999999999989
IL4R	20.1308711911321	-0.004166666666666763
CSF1	20.699624982443	-0.004166666666666763
TNFRSF12A	20.1832382954939	-0.004166666666666763
IL1R1	20.2505830523773	-0.004166666666666763
ITGB3	20.6734896494037	-0.004166666666666763
PLA2G2A	20.9359905489774	-0.004166666666666763
STAT3	20.2958270991132	-0.004166666666666763
OSMR	20.3489184706507	-0.004166666666666763
TNFRSF1B	19.6538956358044	-0.004166666666666763
TNFRSF1A	20.200632299382	-0.004166666666666763
IRF1	19.2361716863104	-0.004166666666666763
HMOX1	21.3424188400032	-0.004166666666666763
CD14	19.629453525487	-0.004166666666666763
MYD88	18.9127639342931	0.009308656334054088
IL13RA1	21.8759363773909	0.018063230724487345
