Item ID	Item value	Change in Kuiper test statistic when item removed
NOP56	20.8129607023937	-0.005494505494505364
NOP16	20.8891374634793	-0.005494505494505364
ODC1	17.7851552239402	0.043683604104673646
DDX21	20.0225127199846	-0.005494505494505364
NOLC1	19.7513420718612	-0.005494505494505364
CTPS1	20.0406105054007	-0.005494505494505364
HSPE1	21.0068650583645	-0.005494505494505364
HSPD1	21.0585845024005	-0.0034241224789387514
RRP9	20.7195628138695	-0.005494505494505364
SRM	19.8296463586984	-0.005494505494505364
LDHA	20.0811353526098	-0.005494505494505364
PGK1	21.0088953100269	-0.005494505494505364
MCM5	7.38707494368799	0.07142857142857151
KPNA2	18.9654298543205	-4.931304208740661E-4
