gene_id	gene_name	abs_amp_EXPOSED	abs_amp_PROTECTED	rel_amp_EXPOSED	rel_amp_PROTECTED	phase_rad_EXPOSED	phase_rad_PROTECTED	phase_hour_EXPOSED	phase_hour_PROTECTED	average_mesor_EXPOSED	average_mesor_PROTECTED	p_EXPOSED	p_PROTECTED	bh_q_EXPOSED	bh_q_PROTECTED
ENSG00000001167	NFYA	5.16645271515312	9.74147178669388	0.204743234040064	0.39845650160788	0.690728602510078	0.828793135712302	2.63838891418646	3.16575658438188	25.2338141447065	24.4480181585302	5.65858847463237e-06	1.11880938877587e-13	0.000122302004969047	4.65089062914131e-10
ENSG00000004777	ARHGAP33	4.24994409922688	5.84190936285106	0.247512864346419	0.355962477328365	-2.30045181605591	-2.40149399545082	15.2129213311194	14.8269686356439	17.1705988310921	16.4115875546682	7.79796238835808e-05	2.2106349190744e-08	0.00074348921211937	1.01729992899546e-06
ENSG00000006327	TNFRSF12A	19.160385097381	16.0746525676698	0.562446011862629	0.469197453726431	0.571570449179962	0.610088591778597	2.1832382954939	2.33036676253289	34.0661764743043	34.2598887525981	0.000137442580029053	0.00427695452610053	0.00111929832061868	0.0119244131220657
ENSG00000007376	RPUSD1	5.8364950991824	7.50060377016392	0.259875707514552	0.329616775622035	-1.13668087600582	-1.04158162221568	19.6581988767755	20.0214512685768	22.4587944560212	22.7555280097901	0.00662388465452268	0.000439967175088405	0.0202169519154558	0.00192115918785977
ENSG00000008405	CRY1	5.53592011669548	6.48287003948858	0.22378698912325	0.262903742491078	-0.593188148666342	-1.42799625683504	21.7341881749493	18.5454560881915	24.7374529608895	24.658721013485	0.00747833160281234	0.0116325548673032	0.0221736265855142	0.0271615037914507
ENSG00000013375	PGM3	5.05259385486119	4.75663816479004	0.206535663448174	0.205554722396959	0.834027229002618	1.35040267126139	3.18574934805607	5.15815824709799	24.4635418915389	23.1404956759116	8.17874159346053e-06	1.74851150912765e-05	0.000155720742613811	0.000151850188233502
ENSG00000013619	MAMLD1	2.20453062246907	1.20539944316874	0.268029529462618	0.232483766281831	0.255289999210601	-0.545662398589793	0.975135967111036	21.9157231681213	8.22495426861739	5.18487575475476	0.00249487106044064	0.0195287961897742	0.00962075973863796	0.0414895429783091
ENSG00000016402	IL20RA	11.8968491655839	11.1336055077761	0.240115104775354	0.200094908563103	-1.58679839865153	-1.47621228991852	17.9388765879433	18.3612844081551	49.5464422228427	55.6416232063443	5.00267224112266e-08	0.000406379321048096	5.67166595627643e-06	0.00180998446885386
ENSG00000016602	CLCA4	3.42910198156451	4.9636045473026	0.419039552137566	0.356325734432154	-2.53061279174308	-3.00668283339173	14.3337711634202	12.5153175541479	8.1832418063457	13.9299637036114	3.96819505547177e-08	9.36848849224497e-06	5.13205168537206e-06	9.40695813098124e-05
ENSG00000017483	SLC38A5	2.55941651643603	5.67170848932371	0.209126416761358	0.377473870066875	1.07116158003267	1.17055092005402	4.09153584749577	4.47117516161672	12.2386093353126	15.0254333851477	0.00226205671710967	8.92064541224282e-06	0.0089216032002134	9.09643245593461e-05
