gene_id,gene_name,rel_amp_PROTECTED,rel_amp_EXPOSED,abs_amp_PROTECTED,abs_amp_EXPOSED,phase_hour_PROTECTED,phase_hour_EXPOSED,average_mesor_PROTECTED,average_mesor_EXPOSED,p_PROTECTED,p_EXPOSED,bh_q_PROTECTED,bh_q_EXPOSED,differentially_rhythmic
ENSG00000005020,SKAP2,0.264678397370058,0.0869898028579086,6.95676182328937,1.69934126263734,8.88154188348979,6.27842845458855,26.2838293280235,19.5349478537512,4.30930423028489e-07,0.0305233142650415,9.31018230002035e-06,0.0656530272851556,TRUE
ENSG00000005884,ITGA3,0.253781315514943,0.138213459321753,40.5224433859269,19.7990378139671,3.66078101136681,4.12624237756287,159.674652579145,143.249708900462,0.000702667880406033,0.00741880617749151,0.00281767560660567,0.0220285551998802,FALSE
ENSG00000018236,CNTN1,0.20050831156437,0.189548873902289,10.2136822601784,8.73307277735828,14.2031557394002,14.803337352554,50.9389470216523,46.0729341070108,4.68967104856705e-05,0.000131918269862935,0.000325821101095709,0.00108878407906066,FALSE
ENSG00000035403,VCL,0.0639497754738823,0.212157054722598,8.92171177142233,31.072862065008,2.61348101376976,1.76103024004012,139.511229012306,146.461601786642,0.441695146211084,0.000246691504956407,0.527420544657069,0.00171053714733133,FALSE
ENSG00000038427,VCAN,0.228636572041639,0.498681713776628,11.6109404947379,42.6851418432101,4.44228812922161,2.24867502526677,50.7833912617591,85.595963645721,0.108807201267127,7.16918596916906e-06,0.170696258041582,0.0001435103021212,TRUE
ENSG00000050405,LIMA1,0.250395085037514,0.271966171392344,36.4035867572993,38.2216654957932,3.41562231172813,3.00923177541438,145.38458992454,140.538307761276,0.00225172587615097,1.89685951284301e-06,0.00714448528650552,5.87579426346223e-05,FALSE
ENSG00000062038,CDH3,0.336848408758723,0.226887006515084,23.2126569581848,14.5138235080346,3.21445005200735,3.18972766231078,68.9112857730953,63.9693904510558,0.000255838653626919,8.69899715266566e-05,0.00125365966576868,0.00081262317221643,FALSE
ENSG00000072110,ACTN1,0.257837762688375,0.305927259761408,45.8482340051458,59.70695949634,2.26962911827461,2.58116568305887,177.818150169719,195.167176481446,0.0395604483504495,1.42162359416995e-05,0.0738449859868964,0.000227295741575557,FALSE
ENSG00000074211,PPP2R2C,0.109159840085524,0.252016751748821,12.9182689657579,24.0325544775031,11.6441107114133,14.5208226199946,118.342688626484,95.3609405356344,0.0977740148476283,1.01600552184124e-08,0.156486106155643,2.30374633870583e-06,FALSE
ENSG00000075618,FSCN1,0.536592225329459,0.259335158776293,78.6511331374022,36.5498182034008,2.89904135787979,2.88469837883349,146.575238001467,140.936610276315,3.2526756043732e-05,0.000190772304749175,0.000245545505218754,0.00142377104280488,FALSE
ENSG00000081237,PTPRC,0.12464946253953,0.242296458773267,2.3620890767048,4.446152247448,5.19312639492157,3.41716733297023,18.9498536823271,18.3500504710577,0.388988847791269,0.00545401847629564,0.479261007785508,0.0174386465357481,FALSE
ENSG00000086062,B4GALT1,0.147819437573237,0.229131308709874,11.7940726107497,21.0462299031131,21.3799609636204,0.0776349338096545,79.7870212765919,91.8522659413685,0.0272139314465206,0.00465282524121192,0.0543973295511393,0.0155023733858279,FALSE
ENSG00000090339,ICAM1,0.218252784446023,0.5386290141273,2.54823686965478,11.9071061912767,22.8488391888055,1.77309243536288,11.6756213494495,22.1063215663733,0.182750062530293,0.00156624540798333,0.259694169304385,0.00679457552515436,TRUE
ENSG00000090659,CD209,0.183044247242033,0.457514310372167,0.974014744419955,4.02292622526502,13.1795054079032,2.39937256955982,5.32119833917562,8.7930063258405,0.834390827061824,0.00183306017131397,0.866202281219346,0.0076918214658333,FALSE
ENSG00000117461,PIK3R3,0.0557972656942735,0.284909242121782,0.607561895759651,4.15027016158154,23.679315436374,3.69008234299446,10.8887395860691,14.5669902831988,0.903529617037019,0.00653860873176313,0.923010315186044,0.0200252921153777,FALSE
ENSG00000128245,YWHAH,0.232828802730672,0.22573367397069,20.3885163630724,19.001128957504,3.16297730835317,1.28855544687644,87.5687033732553,84.1749864930265,8.83497877165775e-06,9.61925714446779e-05,9.03338521184508e-05,0.000868444725060317,FALSE
ENSG00000128591,FLNC,0.309276941564989,0.163780611986276,17.0298205345714,11.9404474042449,2.05128420995502,1.69742288446003,55.0633372420134,72.9051336384393,0.00861446248695357,0.0690321201573745,0.0212734577573857,0.122950524204887,FALSE
ENSG00000131462,TUBG1,0.284833881737241,0.114501387125176,13.7979581446012,5.48332091223373,2.17738376485529,0.411009581761314,48.4421237404959,47.8886854553058,7.57396859276231e-07,0.00162060004729322,1.40977555701998e-05,0.00697424184982401,TRUE
ENSG00000133026,MYH10,0.208755972637163,0.0766622576579036,10.4416295962576,4.21933193802294,16.7062600744406,18.6835648430954,50.0183514002068,55.037929574827,0.00031431737341668,0.017127322855594,0.00147086377631498,0.042548773572134,FALSE
ENSG00000140937,CDH11,0.0913574657724479,0.268493937564822,1.89672702274198,7.5622112442443,2.73468215036086,2.9024019335183,20.7615984824527,28.1652960689981,0.45907803717151,1.69620584854683e-05,0.542772298214439,0.000255374798117671,FALSE
ENSG00000143217,NECTIN4,0.207525236354739,0.129093931018563,46.220201595818,27.185364843912,18.3724633135865,15.8816262098156,222.720871965713,210.585924755849,0.000461335636709174,0.00625312326131062,0.00199837329815912,0.0193553487693732,FALSE
