Item ID	Item value	Change in Kuiper test statistic when item removed
IFITM3	21.657371864751	-0.008418367346947342
IL4R	21.258393678948	0.012670068027212544
SAMD9	22.4448510392127	-0.008418367346947342
RIPK2	14.7094861809609	0.058248299319719365
TDRD7	22.056111259828	-0.008418367346947342
NMI	23.9210947856172	-0.008418367346947342
PARP9	22.5840680903465	-0.008418367346947342
IFIH1	22.282797934915	-0.008418367346947342
ISG20	20.6116291217149	0.05416666666666664
PLSCR1	21.4169270763124	-0.008418367346947342
OAS1	22.7419662189431	-0.008418367346947342
CASP1	0.66609236338702	0.009268707482957106
IRF7	20.0874529161844	0.05416666666666664
TRIM14	23.2962661205477	-0.008418367346947342
TRIM25	23.2409467190959	-0.008418367346947342
TRIM21	22.0787057051588	-0.008418367346947342
