Item ID	Item value	Change in Kuiper test statistic when item removed
BARD1	8.77075976718522	-0.0019762845849802257
BTG2	14.5628369365647	0.013917345594362696
IDUA	10.1537043250677	-0.0019762845849802257
ZBTB16	7.22051362034945	-0.0019762845849802257
ENTPD7	20.0289845824884	0.043478260869565244
GP1BA	10.0834526227677	-0.0019762845849802257
LYPD3	11.4880296277299	-0.0019762845849802257
YBX2	9.91606686381497	-0.0019762845849802257
TFCP2L1	9.12824715326931	-0.0019762845849802257
TENT5C	15.6321018546547	0.020472695006856167
THNSL2	8.81898629575674	-0.0019762845849802257
LFNG	11.0160344232597	-0.0019762845849802257
NR4A2	14.3304648010376	0.013917345594362696
HSD11B2	11.7804997791307	-0.0019762845849802257
C5	4.56077683769273	-0.0019762845849802257
MFSD6	7.82348663530008	-0.0019762845849802257
FGGY	5.57919393777823	-0.0019762845849802257
STAG3	8.26099606073747	-0.0019762845849802257
KRT15	10.0158331505425	-0.0019762845849802257
CD207	23.74278876007	0.035438681401386896
EFHD1	10.1200182738505	-0.0019762845849802257
PDK2	9.66177342927042	-0.0019762845849802257
SPTBN2	9.50275117369883	-0.0019762845849802257
