NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM176A	4	3.9301531314849854	0.096668825	Yes	
row_1	TMEM176B	20	2.4917566776275635	0.15142877	Yes	
row_2	ADGRL4	53	1.7562992572784424	0.17880161	Yes	
row_3	ALDH1A3	59	1.6724685430526733	0.21821132	Yes	
row_4	ETS1	70	1.5982637405395508	0.2531371	Yes	
row_5	GYPC	76	1.5472973585128784	0.2894013	Yes	
row_6	SPON1	127	1.2197644710540771	0.29386204	Yes	
row_7	AKAP12	168	1.0169086456298828	0.29846343	Yes	
row_8	TNFRSF1B	181	0.9837076663970947	0.31689787	Yes	
row_9	PLAUR	212	0.8781270980834961	0.32325003	Yes	
row_10	ERO1A	221	0.8533198833465576	0.34050316	Yes	
row_11	TRIB1	227	0.8318500518798828	0.35878825	Yes	
row_12	ANGPTL4	266	0.7416542768478394	0.3575202	Yes	
row_13	EREG	267	0.7399610877037048	0.3761153	Yes	
row_14	FCER1G	289	0.6763188242912292	0.38211057	Yes	
row_15	RGS16	350	0.5277475118637085	0.3639427	Yes	
row_16	GFPT2	355	0.518524706363678	0.37487784	Yes	
row_17	INHBA	368	0.4992481768131256	0.38113785	Yes	
row_18	PRRX1	371	0.4943801164627075	0.39251387	Yes	
row_19	ADAM8	411	0.4110545217990875	0.38241407	No	
row_20	BTC	519	0.1761062890291214	0.3307893	No	
row_21	BIRC3	560	0.07322290539741516	0.311676	No	
row_22	PLAU	680	-0.11450675129890442	0.25221723	No	
row_23	DNMBP	975	-0.4526205062866211	0.10958419	No	
row_24	TSPAN7	1021	-0.49440059065818787	0.09843585	No	
row_25	HBEGF	1039	-0.5172379612922668	0.10252877	No	
row_26	PLEK2	1088	-0.5611299872398376	0.091485836	No	
row_27	DUSP6	1163	-0.6455252766609192	0.06894404	No	
row_28	MPZL2	1354	-0.8495078682899475	-0.009236515	No	
row_29	ID2	1430	-0.9462136030197144	-0.024745893	No	
row_30	BMP2	1453	-0.9689683318138123	-0.011920222	No	
row_31	KLF4	1464	-0.9861311316490173	0.0076227607	No	
row_32	GALNT3	1472	-0.9953351020812988	0.028968543	No	
row_33	IL33	1500	-1.0397146940231323	0.040952887	No	
row_34	TNFAIP3	1577	-1.1482293605804443	0.029996298	No	
row_35	IL2RG	1643	-1.280242919921875	0.02811937	No	
row_36	ITGA2	1708	-1.4313122034072876	0.030562624	No	
row_37	SPRY2	1759	-1.6012736558914185	0.04461067	No	
row_38	CA2	1859	-2.12282133102417	0.046097238	No	
