NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ODC1	192	0.9358358979225159	-0.027204167	No	
row_1	ACSL4	248	0.7719065546989441	0.0038875837	No	
row_2	ENO2	275	0.7173075079917908	0.0457836	No	
row_3	GABARAPL1	475	0.25069472193717957	-0.03792363	No	
row_4	ALDH3A1	486	0.23588231205940247	-0.024897309	No	
row_5	UGDH	517	0.17726102471351624	-0.026752602	No	
row_6	LDHA	539	0.12144199013710022	-0.028255116	No	
row_7	YWHAH	634	-0.04464789107441902	-0.07348871	No	
row_8	S100A10	673	-0.10442683100700378	-0.08510815	No	
row_9	IDI1	829	-0.29681679606437683	-0.14246964	No	
row_10	HSPH1	950	-0.4116290211677551	-0.1728448	No	
row_11	OSTC	1248	-0.7359434366226196	-0.26985228	Yes	
row_12	HSP90AA1	1296	-0.7796842455863953	-0.23401733	Yes	
row_13	ADSL	1369	-0.8703436851501465	-0.20413211	Yes	
row_14	ACADL	1641	-1.2788721323013306	-0.24577276	Yes	
row_15	CA2	1859	-2.12282133102417	-0.19431412	Yes	
row_16	CBR3	1926	-3.1015021800994873	0.010875241	Yes	
