NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIN1	49	1.7709364891052246	0.09190886	Yes	
row_1	VCL	55	1.7301214933395386	0.20387779	Yes	
row_2	PLEKHG2	105	1.3407338857650757	0.2673019	Yes	
row_3	CDC42EP2	184	0.9743237495422363	0.29146245	Yes	
row_4	BCAR1	252	0.7666290998458862	0.3075617	Yes	
row_5	ARHGEF2	341	0.5458527207374573	0.29817885	No	
row_6	SYNPO	783	-0.23733992874622345	0.08575092	No	
row_7	RASAL2	887	-0.3484871983528137	0.055540062	No	
row_8	FGD4	1318	-0.8094094395637512	-0.11331911	No	
row_9	BCL2L11	1367	-0.8676210641860962	-0.08070365	No	
row_10	FBXO5	1388	-0.8866134285926819	-0.032345414	No	
row_11	FSCN1	1507	-1.0490083694458008	-0.023933005	No	
row_12	ARL8A	1552	-1.1126532554626465	0.026975954	No	
row_13	SAC3D1	1622	-1.2179397344589233	0.07192293	No	
row_14	MYH10	1715	-1.4452290534973145	0.12002067	No	
