Item ID	Item value	Change in Kuiper test statistic when item removed
H2AX	3.14630116580308	-0.004615384615383911
NOLC1	3.2754247546096	-0.004615384615383911
HSP90B1	5.33698954243737	-0.004615384615383911
RRP9	3.76894192718523	-0.004615384615383911
CCL2	1.62209067666108	0.035384615384616014
BANF1	5.62142538929954	-0.004615384615383911
IARS1	4.17619114660232	-0.004615384615383911
NOP56	4.2131838652901	-0.004615384615383911
NPM1	5.70322394443561	-0.004615384615383911
HSPA5	3.87535123039201	-0.004615384615383911
NFYA	3.16575658438188	-0.004615384615383911
FUS	5.6179751214807	-0.004615384615383911
ASNS	5.66700240628791	-0.004615384615383911
DDX10	4.51052149443538	-0.004615384615383911
YIF1A	4.18270748188053	-0.004615384615383911
VEGFA	23.4629770176476	0.035384615384616125
TUBB2A	2.78018783287914	0.014432234432234847
DKC1	4.14073247166574	-0.004615384615383911
MTHFD2	4.31295466237907	-0.004615384615383911
NHP2	4.7286423164177	-0.004615384615383911
SRPRB	3.33279926066196	-0.004615384615383911
HYOU1	4.04737844810007	-0.004615384615383911
PREB	2.97950920041429	-0.004615384615383911
CALR	6.12504255085283	0.0076295133437994656
TARS1	3.88186467266601	-0.004615384615383911
ATF3	22.8669219099441	0.035384615384616125
