Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	2.0859544125972	0.0
NOP56	2.81296070239374	0.0
NOP14	2.51121560025289	0.0
XBP1	2.51452580711927	0.0
HSPA5	3.94393165099091	0.016892881554533445
NFYA	2.63838891418646	0.0
NOLC1	1.75134207186119	0.0
HSP90B1	3.99060470999726	0.016892881554533445
RRP9	2.71956281386955	0.0
VEGFA	1.45482957676877	0.0
SLC7A5	0.0156026444514982	0.0
TUBB2A	23.7134187409923	0.010741138560718566
BAG3	1.61676736260588	0.0
MTHFD2	2.40084291459412	0.0
STC2	0.438602297301867	0.0
DDIT4	3.17160051615524	0.016892881554533445
CCL2	2.34866044341102	0.0
DNAJB9	2.12727630584042	0.0
NABP1	2.06066907975703	0.0
SRPRB	2.42048482961124	0.0
HYOU1	3.44616746115965	0.016892881554533445
CALR	4.48034873976945	0.016892881554533445
TARS1	2.52036048623608	0.0
